longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.41969,37.78321,Apartment,Entire home/apt,$124.00,30,6,23,8,95,Tenderloin,NA,1
-122.40582,37.79418,House,Shared room,$30.00,30,0,0,9,100,Chinatown,1,2.5
-122.406,37.79455,House,Shared room,$30.00,30,0,0,9,100,Chinatown,1,2.5
-122.40592,37.79478,House,Shared room,$30.00,30,0,0,6,97,Chinatown,1,2.5
-122.50535,37.77884,Condominium,Private room,$128.00,2,23,47,271,99,Richmond District,1,2
-122.4357,37.76003,Apartment,Private room,$116.00,2,14,37,54,95,The Castro,1,1.5
-122.43363,37.75941,Condominium,Private room,$109.00,1,0,0,28,97,The Castro,1,1.5
-122.4351,37.75978,Condominium,Entire home/apt,$350.00,1,0,7,28,90,The Castro,4,1.5
-122.42711,37.7748,Apartment,Entire home/apt,$250.00,30,0,0,19,98,Hayes Valley,1,1
-122.50893,37.75925,House,Entire home/apt,$324.00,4,4,21,123,99,Outer Sunset,2,2
-122.43121,37.74054,Apartment,Entire home/apt,$190.00,30,0,0,8,100,Glen Park,3,2
-122.4331,37.77407,Apartment,Entire home/apt,$110.00,30,0,27,21,87,Western Addition/NOPA,1,1
-122.50806,37.75385,Apartment,Private room,$57.00,30,29,59,97,89,Outer Sunset,1,1.5
-122.42917,37.77346,House,Private room,$89.00,1,5,22,108,96,Hayes Valley,1,3
